InputID,TargetID
I149p,I120p
I149p,I147a
I149p,I148p
I149p,I150p
I149p,I151p
I149p,I180p
I149p,K203p
I149p,K222p
I149p,K223p
I149p,K247p
I150p,I144a
I150p,I144p
I150p,I145p
I150p,I146p
I150p,I147a
I150p,I148p
I150p,I151p
I150p,I173p
I150p,I177p
I150p,I181p
I151p,I120p
I151p,I147a
I151p,I148p
I151p,I149p
I151p,I150p
I151p,I177p
I151p,I180p
I151p,I181p
I151p,K223p
I151p,K247p
I152a,I122p
I152a,I124p
I152a,I125p
I152a,I126p
I152a,I129p
I152a,I152p
I152a,I154a
I152a,I154b
I152a,I154p
I152a,I155p
I152p,H011p
I152p,H013p
I152p,H014p
I152p,H041p
I152p,I121p
I152p,I122p
I152p,I124p
I152p,I126p
I152p,I153p
I152p,I154b
I153p,H014p
I153p,H040p
I153p,H041p
I153p,H071p
I153p,I124p
I153p,I152p
I153p,I154a
I153p,I154b
I153p,I184p
I153p,I185p
I154a,I125p
I154a,I126p
I154a,I152a
I154a,I154b
I154a,I154p
I154a,I155p
I154a,I156p
I154a,I185p
I154a,I186p
I154a,I189p
I154b,H041p
I154b,I124p
I154b,I125p
I154b,I126p
I154b,I152a
I154b,I152p
I154b,I153p
I154b,I154a
I154b,I154p
I154b,I185p
I154p,I125p
I154p,I126p
I154p,I129p
I154p,I152a
I154p,I154a
I154p,I154b
I154p,I155p
I154p,I156p
I154p,I185p
I154p,I186p
I155p,I125p
I155p,I126p
I155p,I129p
I155p,I152a
I155p,I154a
I155p,I154p
I155p,I156p
I155p,I158p
I155p,I186p
I155p,I189p
I156p,I127p
I156p,I129p
I156p,I130p
I156p,I131p
I156p,I152a
I156p,I154a
I156p,I154p
I156p,I155p
I156p,I158p
I156p,I189p
I157p,I130p
I157p,I131p
I157p,I133p
I157p,I135p
I157p,I156p
I157p,I158p
I157p,I159p
I157p,I160p
I157p,I163p
I157p,I190p
I158p,I130p
I158p,I155p
I158p,I156p
I158p,I157p
I158p,I159p
I158p,I186p
I158p,I189p
I158p,I190p
I158p,I192p
I158p,I193p
I159p,I133p
I159p,I157p
I159p,I158p
I159p,I160p
I159p,I163p
I159p,I164p
I159p,I190p
I159p,I193p
I159p,I195p
I159p,I196a
I160p,I133p
I160p,I135p
I160p,I136p
I160p,I157p
I160p,I159p
I160p,I161p
I160p,I163p
I160p,I164p
I160p,I195p
I160p,I196a
I161p,I135p
I161p,I136p
I161p,I137p
I161p,I160p
I161p,I162p
I161p,I163p
I161p,I164p
I161p,I165p
I161p,I166p
I161p,I196a
I162p,I135p
I162p,I136p
I162p,I137p
I162p,I140p
I162p,I161p
I162p,I164p
I162p,I165p
I162p,I166p
I162p,I169p
I162p,I198p
I163p,I135p
I163p,I157p
I163p,I159p
I163p,I160p
I163p,I161p
I163p,I164p
I163p,I190p
I163p,I195p
I163p,I196a
I163p,I200p
I164p,I135p
I164p,I159p
I164p,I160p
I164p,I161p
I164p,I162p
I164p,I163p
I164p,I165p
I164p,I195p
I164p,I196a
I164p,I200p
I165p,I135p
I165p,I136p
I165p,I140p
I165p,I161p
I165p,I162p
I165p,I164p
I165p,I166p
I165p,I169p
I165p,I198p
I165p,I204p
I166p,I112p
I166p,I136p
I166p,I137p
I166p,I140p
I166p,I161p
I166p,I162p
I166p,I165p
I166p,I169p
I166p,I198p
I166p,I204p
I168p,I138p
I168p,I140a
I168p,I140p
I168p,I142p
I168p,I143p
I168p,I169p
I168p,I170p
I168p,I171p
I168p,I206p
I168p,I209p
I169p,I140p
I169p,I162p
I169p,I165p
I169p,I166p
I169p,I170p
I169p,I198p
I169p,I203p
I169p,I204p
I169p,I205p
I169p,I251a
I170p,I140p
I170p,I168p
I170p,I169p
I170p,I171p
I170p,I204p
I170p,I205p
I170p,I206p
I170p,I208p
I170p,I209p
I170p,I251a
I171p,I142p
I171p,I143p
I171p,I144p
I171p,I145p
I171p,I168p
I171p,I173p
I171p,I174p
I171p,I206p
I171p,I209p
I171p,I210p
I173p,I144a
I173p,I144p
I173p,I145p
I173p,I146p
I173p,I150p
I173p,I171p
I173p,I174p
I173p,I175p
I173p,I177p
I173p,I210p
I174p,I143p
I174p,I144p
I174p,I145p
I174p,I146p
I174p,I171p
I174p,I173p
I174p,I175p
I174p,I209p
I174p,I210p
I174p,I212p
I175p,I146p
I175p,I173p
I175p,I174p
I175p,I177p
I175p,I181p
I175p,I210p
I175p,I212p
I175p,I213p
I175p,I214p
I175p,I215p
I177p,I144a
I177p,I145p
I177p,I146p
I177p,I150p
I177p,I151p
I177p,I173p
I177p,I174p
I177p,I175p
I177p,I181p
I177p,I215p
I180p,I149p
I180p,I151p
I180p,I181p
I180p,K223p
I180p,K244a
I180p,K244p
I180p,K247p
I180p,K249p
I180p,K250p
I180p,K279p
I181p,I150p
I181p,I151p
I181p,I175p
I181p,I177p
I181p,I180p
I181p,I214p
I181p,I215p
I181p,I216p
I181p,K247p
I181p,K279p
I184p,H041p
I184p,H071p
I184p,H119p
I184p,I153p
I184p,I154a
I184p,I154b
I184p,I154p
I184p,I185p
I184p,I187p
I184p,I223p
I185p,I153p
I185p,I154a
I185p,I154b
I185p,I154p
I185p,I155p
I185p,I184p
I185p,I186p
I185p,I187p
I185p,I188p
I185p,I223p
I186p,I154a
I186p,I154p
I186p,I155p
I186p,I185p
I186p,I187p
I186p,I188p
I186p,I189p
I186p,I192p
I186p,I225p
I186p,I228p
I187p,I154a
I187p,I184p
I187p,I185p
I187p,I186p
I187p,I188p
I187p,I223p
I187p,I224p
I187p,I225p
I187p,I227p
I187p,I228p
I188p,I186p
I188p,I187p
I188p,I189p
I188p,I192p
I188p,I225p
I188p,I227p
I188p,I228p
I188p,I229p
I188p,I233p
I188p,I235p
I189p,I154a
I189p,I155p
I189p,I156p
I189p,I158p
I189p,I186p
I189p,I188p
I189p,I190p
I189p,I192p
I189p,I228p
I189p,I229p
I190p,I157p
I190p,I158p
I190p,I159p
I190p,I163p
I190p,I189p
I190p,I192p
I190p,I193p
I190p,I195p
I190p,I196a
I190p,I229p
I192p,I158p
I192p,I186p
I192p,I188p
I192p,I189p
I192p,I190p
I192p,I193p
I192p,I228p
I192p,I229p
I192p,I233p
I192p,I237p
I193p,I190p
I193p,I192p
I193p,I195p
I193p,I228p
I193p,I229p
I193p,I231p
I193p,I237p
I193p,I239p
I193p,I240p
I193p,I244p
I195p,I159p
I195p,I163p
I195p,I164p
I195p,I190p
I195p,I193p
I195p,I196a
I195p,I200p
I195p,I201p
I195p,I231p
I195p,I240p
I196a,I159p
I196a,I160p
I196a,I161p
I196a,I163p
I196a,I164p
I196a,I195p
I196a,I200p
I196a,I201p
I196a,I240p
I196a,I242p
I198p,I162p
I198p,I164p
I198p,I165p
I198p,I166p
I198p,I169p
I198p,I203p
I198p,I204p
I198p,I205p
I198p,I243p
I198p,I251a
I200p,I164p
I200p,I195p
I200p,I196a
I200p,I201p
I200p,I231p
I200p,I240p
I200p,I241p
I200p,I242p
I200p,I244p
I200p,I248p
I201p,I195p
I201p,I196a
I201p,I200p
I201p,I231p
I201p,I240p
I201p,I241p
I201p,I242p
I201p,I244p
I201p,I245p
I201p,I248p
I203p,I169p
I203p,I198p
I203p,I204p
I203p,I205p
I203p,I242p
I203p,I243p
I203p,I248p
I203p,I249p
I203p,I251a
I203p,I251p
I204p,I165p
I204p,I169p
I204p,I170p
I204p,I198p
I204p,I203p
I204p,I205p
I204p,I206p
I204p,I243p
I204p,I251a
I204p,I251p
I205p,I169p
I205p,I170p
I205p,I198p
I205p,I203p
I205p,I204p
I205p,I206p
I205p,I208p
I205p,I251a
I205p,I252p
I205p,I253p
I206p,I168p
I206p,I169p
I206p,I170p
I206p,I171p
I206p,I204p
I206p,I205p
I206p,I208p
I206p,I209p
I206p,I253p
I206p,I258p
I208p,I170p
I208p,I205p
I208p,I206p
I208p,I209p
I208p,I212p
I208p,I253p
I208p,I254p
I208p,I256a
I208p,I257p
I208p,I258p
I209p,I170p
I209p,I171p
I209p,I173p
I209p,I174p
I209p,I175p
I209p,I206p
I209p,I208p
I209p,I210p
I209p,I212p
I209p,I258p
I210p,I171p
I210p,I173p
I210p,I174p
I210p,I175p
I210p,I209p
I210p,I212p
I210p,I213p
I210p,I214p
I210p,I258p
I210p,I259p
I212p,I174p
I212p,I175p
I212p,I209p
I212p,I210p
I212p,I213p
I212p,I214p
I212p,I258p
I212p,I259p
I212p,I260b
I212p,I262p
I213p,I175p
I213p,I210p
I213p,I212p
I213p,I214p
I213p,I215p
I213p,I259p
I213p,I260a
